"35.70966283,139.69392094",小滝橋車庫
"35.68073998,139.71133800",千駄ヶ谷駅
"35.68189491,139.71950617",信濃町駅
"35.67281311,139.72408583",青山一丁目駅
"35.68666835,139.72982132",四谷駅
"35.69989636,139.73301609",牛込北町
"35.70188470,139.74565306",飯田橋駅
"35.69105168,139.73596378",市ヶ谷駅
"35.69770726,139.71002682",区民健康センター
"35.69789673,139.70759646",東新宿駅
"35.69466600,139.69872382",新宿広小路
"35.70639814,139.72026505",馬場下町
"35.70581060,139.68595060",東中野一
"35.70679055,139.68627974",東中野駅東口
"35.70861489,139.68695728",東中野本通り
"35.71033517,139.70380474",高田馬場駅通り
"35.70893284,139.69945934",高田馬場四
"35.70794781,139.69782192",戸山団地中央
"35.70653565,139.69638595",百人町郵便局前
"35.70471044,139.69630553",百人町公務員宿舎
"35.70434734,139.69859607",社会保険中央病院
"35.69514269,139.70684380",日清食品
"35.69022616,139.72443553",三栄町
"35.68768411,139.72408886",四谷二
"35.68625635,139.72808538",四谷一
"35.70127829,139.73692862",牛込神楽坂駅
"35.70295952,139.74245720",厚生年金病院
"35.70945709,139.68778554",東中野地域センター
"35.70602358,139.70003252",タワーホームズ
"35.70729509,139.70009185",西戸山公園野球場
"35.68212359,139.68517666",オペラ通り
"35.68464358,139.68607027",西新宿四
"35.67095837,139.72653219",赤坂八
"35.67199012,139.72540461",南青山一丁目
"35.67343018,139.72590893",赤坂郵便局
"35.67536926,139.73190720",赤坂地区総合支所
"35.67639470,139.73370763",豊川稲荷
"35.67198523,139.73620161",赤坂駅
"35.67048331,139.73444525",赤坂五交番
"35.67444705,139.68531254",代々木中学校入口
"35.68475490,139.74160802",麹町出張所入口
"35.67745550,139.73710369",赤坂見附駅
"35.67419940,139.72829920",高橋是清翁記念公園
"35.70078974,139.70903537",都営戸山ハイツ
"35.69219611,139.69593467",新宿センタービル新宿野村ビル
"35.68449306,139.70391182",千駄ヶ谷五
"35.67337795,139.73898352",山王下
"35.69109876,139.69805215",中央通り
"35.70660123,139.70889240",都立障害者センター
"35.70093301,139.70809259",大久保通り
"35.68607696,139.69385467",新宿ワシントンホテル新館
"35.68109280,139.68594329",新国立劇場
"35.68559919,139.73136567",四谷駅前
"35.71177833,139.62923189",本天沼二
"35.71457018,139.63307838",阿佐谷営業所
"35.71267811,139.63930663",東原
"35.71178899,139.64246438",お伊勢の森
"35.71855879,139.62666470",銀杏稲荷
"35.71994089,139.63645397",白鷺二
"35.73209852,139.64756060",南蔵院
"35.71406968,139.63488218",阿佐谷北六
"35.71658625,139.62700436",下井草一
"35.71528822,139.63068140",大鳥前
"35.71664251,139.63609975",白鷺一
"35.71759747,139.62365832",日向橋
"35.72008355,139.62595079",下井草二
"35.72646031,139.63871991",鷺の宮四
"35.72875486,139.63943496",中村南三
"35.73223514,139.63929160",中村三
"35.73305677,139.62657284",富士見台一
"35.73444591,139.64083321",中村公園
"35.73842118,139.64279773",向山町
"35.74817335,139.64485243",春日野
"35.74228346,139.64919267",豊島園
"35.73363781,139.63894228",中村北三
"35.73672601,139.64339622",中村北二
"35.73496568,139.64753641",中村北一
"35.73851252,139.64976549",練馬一
"35.74669072,139.62957549",高松二
"35.74816977,139.62622183",高松三
